health_risk,fatigue_risk,alcohol_risk,emotion_risk,safety_knowledge_risk,experience_risk,skill_risk,accident_history_risk,violation_history_risk,distance_risk,stay_time_risk,overlap_risk,authorized_risk,ppe_fastened_risk,protection_eff_risk,visibility_risk,sign_visible_risk,alert_perceptible_risk,hazard_type_risk,impact_range_risk,stability_margin_risk,device_abnormality_risk,sensor_coverage_risk,alarm_effect_risk,wind_speed_risk,illumination_risk,comprehensive_score,risk_level
0.8398066192959103,0.4359971368793462,0.0,0.3876950119117558,0.3088377447244211,0.91502826694022,0.7,0.0,0.0,0.1449733546900773,0.6087873210510265,0.5547534753496335,0.0,0.0,0.257942508765355,0.364958779762097,0.0,0.0,0.5,1.0,0.1659390572009805,7.826275606653432e-08,0.1811773909245539,0.7190414786156658,0.4539470020336333,0.1776128389807723,0.3279023854410179,低风险
0.1985085059791334,0.5055788635676156,0.0,0.2234731473994468,0.3741142619853079,0.7270891593360864,0.7,0.0,0.0,0.0762170825471264,0.2616012842332171,0.5713969974641204,0.0,0.0,0.3035626918606618,0.5548715769043271,0.0,0.0,0.7,0.2684356196342332,0.4221342695918563,0.0,0.2319372645457014,0.5942564276706692,0.0581995077315224,0.0990177849241913,0.2666540636753538,低风险
0.7365464412481304,0.3993348837670043,0.0,0.3535750851209658,0.3443884881716846,0.9891283988985964,0.7,0.0,1.0,0.1722559258795468,0.2248820245236855,0.0445428047138664,0.0,0.0,0.0902204187552466,0.0896262809290714,0.0,0.0,0.9,0.2319091623596911,0.2793715989517956,0.4674229288859167,0.2133357394042953,0.7883668730131465,0.0,0.3935488243688783,0.31830942007171725,低风险
0.4208170282754615,0.4591219595139388,0.0,0.3647423956798631,0.4581302478247562,0.9795023797182184,0.4,0.0,0.4,0.5327461857603624,0.1649794486975325,0.267678381230808,1.0,0.0,0.3604753153792085,0.5971279696884947,0.0,0.0,0.5,1.0,0.1778284352388879,0.6682058337448336,0.143008105274899,0.654051589667297,0.0165645257351266,0.0747433854973109,0.3763628111557919,中风险
0.3351180259713039,0.22926084803505,0.0,0.4501627122064836,0.1774168064342666,0.9771172348064636,0.1,0.0,0.0,0.0727932999240012,0.3392618596087811,0.3681370463413388,1.0,0.0,0.2297424079781012,0.2464562504454531,0.0,0.0,0.5,1.0,0.3856833812352908,0.1234445075280969,0.0639037873894532,0.1131197009653935,0.1505398668759228,0.038889050338275,0.26566826973164187,低风险
0.4605531189389009,0.2909149096333492,0.0,0.4588526814035698,0.4230326049955543,0.943649575330554,0.1,0.0,1.0,0.2968187755761642,1.0,0.2168140357093121,0.0,0.0,0.0494022291968865,0.2970417112458333,0.0,0.0,0.7,1.0,0.505998735679119,0.7009242016683193,0.1062976153016771,0.2408540254917369,0.4114252179300662,0.1000183862179877,0.3528316917563586,中风险
0.7250113330849207,0.457013567279996,0.0,0.3102763539248913,0.3067204732462313,0.5247609662423007,0.4,0.0,0.0,0.0955401106680046,0.56401184205481,0.5408715035733711,0.0,0.0,0.5681104978840844,0.4113080217023869,0.0,0.0,0.5,1.0,0.1339918924594836,0.5912193104444112,0.1651257319054715,0.8557271026612736,0.0,0.0394244939912322,0.3178204775930653,低风险
0.7400544842383727,0.5075026257898706,0.0,0.2209572316750343,0.4968058139889868,0.9409891369948512,0.4,0.0,0.4,0.0770726387044272,0.6632602417895622,0.2120785131887778,0.0,0.0,0.8332980162532264,0.1734379273751396,0.0,1.0,0.5,1.0,0.2501496007565242,0.06790329181836,0.1984853059654665,0.219823164338648,0.0146335608109223,0.1349419622116746,0.3410946389877327,低风险
0.8945211728773478,0.4687461093821291,0.0,0.2918631508589456,0.2062973415786479,0.880355336755847,0.1,0.5,0.4,0.3921172809096422,0.6811421764347683,0.1133612520266835,0.0,1.0,0.8038036591405581,0.2605142844437522,0.0,0.0,0.6,1.0,0.7388068247736452,0.130450754640865,0.1323341996592421,0.992938247340978,0.0,0.1519361377167933,0.4152552963615079,高风险
0.1898670173917109,0.4302355677281377,0.0,0.3135527969329145,0.3960247022613962,0.8063174868937308,1.0,0.0,0.0,0.0580512797973385,0.8313117498460106,0.1092510088880471,0.0,0.0,0.7376359700559129,0.3439930837998139,0.0,0.0,0.8,0.61562581069422,0.2842155754624978,0.464983615003666,0.1192612383849112,0.6094783890368857,0.0,0.446550262338616,0.3295775679647163,低风险
