health,fatigue,alcohol,emotion,safety_knowledge,experience,skill,accident_history,violation_history,distance,stay_time,overlap,authorized,ppe_fastened,protection_eff,visibility,sign_visible,alert_perceptible,hazard_type,impact_range,stability_margin,device_abnormality,sensor_coverage,alarm_effect,wind_speed,illumination
0.2949599456156915,0.30547566912213253,否,0.6123049880882442,0.6301950917176703,4.844589582279636,初级,无,无,6.437351047352422,36.52723926306159,0.4787679165449923,是,是,0.7798863062505174,0.5668946978698441,是,是,配电箱,37.53591715968918,0.6956576563027891,1.4319413475476193e-12,0.7515977397118356,0.34716439188282877,6.539470020336333,0.6763206426092652
0.8628446522843274,0.37743424281676313,否,0.7765268526005532,0.5566969210114011,11.165730156012021,初级,无,无,8.580565536685754,15.696077053993028,0.49678953923503444,是,是,0.7397216962137781,0.3635855863267593,是,是,深基坑,8.053068589026998,0.33392880238013745,0.0,0.6859318870099107,0.47156660334067857,2.5819950773152236,0.8117689518829108
0.41096299045160595,0.26945223174601796,否,0.6464249148790342,0.5899405019610736,1.6929456596616514,初级,无,≥2次,5.862579889653716,13.49292147142113,0.02046312464186104,是,是,0.9242301982908597,0.8892515684641659,是,是,塔吊,18.55273298877529,0.5193052923972917,0.2815248186029065,0.7097865128520494,0.274148815689493,0.44373752037216685,0.36778302842436966
0.694827805958201,0.3288819912623081,否,0.6352576043201369,0.46490973055601126,2.175458924638756,中级,无,1次,2.0990338918636553,9.898766921851951,0.19253807329546105,否,是,0.6889923927528724,0.3209659014064381,是,是,配电箱,23.75040201314656,0.6759660819017355,0.510721065648926,0.8021442029632468,0.41289800335188626,2.1656452573512666,0.8560998026809776
0.7617802445803741,0.12195105552225421,否,0.5498372877935164,0.7833841675823987,2.288383066683474,高级,无,无,8.733771206752863,20.355711576526865,0.28675559769218095,否,是,0.8045073009203856,0.7020783643762707,是,是,配电箱,23.40483977782671,0.3773849080905051,0.030604570265832003,0.9099745971757931,0.9048032941426642,3.505398668759229,0.9237342575596629
0.6626727685062501,0.17137655154854775,否,0.5411473185964302,0.5028507350486904,3.7302489525766553,高级,无,≥2次,4.048778365540784,60.19304592947929,0.14794804872863676,是,是,0.9586586448365897,0.6436680393168754,是,是,深基坑,44.895187359246144,0.2440372491506289,0.553076355972494,0.851678326371649,0.79482419319741,6.114252179300662,0.8099669051456752
0.4228729094349944,0.3267265437900639,否,0.6897236460751087,0.6326091497383517,17.139175401878237,中级,无,无,7.827363708929624,33.8407105232886,0.463839389006947,是,是,0.4967568599435275,0.515656085612084,是,是,配电箱,11.80097682936804,0.7499700423259066,0.41646740576113717,0.77273415434689,0.19921435422582315,1.83940670357685,0.9227053027440002
0.40730669927184115,0.37948757612864054,否,0.7790427683249657,0.42380835891419755,3.8372518840830994,中级,无,1次,8.543356473383028,39.795614507373735,0.1439198963472305,是,是,0.22470736476682493,0.7881236171015275,是,否,配电箱,43.2179479154336,0.5622756212456,0.011301897933234507,0.7290053206252198,0.8131316697196707,2.1463356081092235,0.7483254087421878
0.22324249176002994,0.3387746972439831,否,0.7081368491410543,0.749156054380118,6.113273595415337,高级,1次,1次,3.1206476598163135,40.868530586086095,0.06577801936209876,是,否,0.2573805667130644,0.6857443476944054,是,是,车辆,15.565617350629996,0.06822187478482537,0.033554002017114705,0.8164547385644456,0.016122303228713622,1.9201397049979345,0.7192123145107097
0.8690355496885573,0.29972522933173407,否,0.6864472030670855,0.5324440408191158,8.638884280504747,无证,无,无,9.488095082051586,49.87870499076064,0.0628104377587099,是,是,0.32790918183226475,0.5903852825823983,是,是,高支模,18.468774320826594,0.5123473424104831,0.2790804508912229,0.8340847050758388,0.4567769989136417,1.6307115018009202,0.30630661211745475
